Date,Time,Game ID,Elo,Outcome,Side,Country
3/21/2025,11:59:59 PM,226,250,Win,Black,Tunisia
3/26/2025,11:59:59 PM,227,250,Draw,White,Saint Lucia
3/29/2025,11:59:59 PM,228,258,Win,White,France
3/30/2025,11:59:59 PM,229,267,Win,White,United Kingdom
3/30/2025,11:59:59 PM,230,259,Loss,White,France
3/30/2025,11:59:59 PM,231,260,Draw,Black,Indonesia
3/30/2025,11:59:59 PM,232,252,Loss,Black,United Kingdom
3/30/2025,11:59:59 PM,233,260,Win,White,India
4/3/2025,11:59:59 PM,234,252,Loss,Black,Hong Kong
4/3/2025,11:59:59 PM,235,252,Draw,White,Canada
4/17/2025,11:59:59 PM,236,260,Win,Black,Iran
4/17/2025,11:59:59 PM,237,268,Win,White,France
4/20/2025,11:59:59 PM,238,260,Loss,Black,Pakistan
4/20/2025,11:59:59 PM,239,268,Win,Black,USA
4/23/2025,11:59:59 PM,240,260,Loss,White,USA
4/23/2025,11:59:59 PM,241,268,Win,White,Mexico
4/26/2025,11:59:59 PM,242,260,Loss,Black,Denmark
4/26/2025,11:59:59 PM,243,252,Loss,White,Germany
4/26/2025,11:59:59 PM,244,244,Loss,White,Brazil
4/27/2025,11:59:59 PM,245,236,Loss,White,USA
4/27/2025,11:59:59 PM,246,228,Loss,White,Poland
4/27/2025,11:59:59 PM,247,220,Loss,White,USA
4/27/2025,11:59:59 PM,248,228,Win,Black,France
4/27/2025,11:59:59 PM,249,236,Win,Black,Curacao
4/27/2025,11:59:59 PM,250,244,Win,Black,Indonesia
4/27/2025,11:59:59 PM,251,252,Win,White,India
4/27/2025,11:59:59 PM,252,260,Win,Black,India
4/27/2025,11:59:59 PM,253,260,Draw,White,Canada
4/27/2025,11:59:59 PM,254,252,Loss,White,United Kingdom
4/27/2025,11:59:59 PM,255,244,Loss,Black,United Kingdom
4/29/2025,11:59:59 PM,256,252,Win,Black,Belgium
4/29/2025,11:59:59 PM,257,260,Win,Black,France
4/29/2025,11:59:59 PM,258,268,Win,Black,USA
4/29/2025,11:59:59 PM,259,260,Loss,White,France
4/29/2025,11:59:59 PM,260,268,Win,White,Russia
4/29/2025,11:59:59 PM,261,276,Win,Black,Italy
4/30/2025,11:59:59 PM,262,268,Loss,Black,Singapore
4/30/2025,11:59:59 PM,263,260,Win,White,India
4/30/2025,11:59:59 PM,264,268,Win,White,Russia
4/30/2025,11:59:59 PM,265,261,Loss,White,Switzerland
4/30/2025,11:59:59 PM,266,253,Loss,Black,USA
4/30/2025,11:59:59 PM,267,261,Win,Black,Italy
